id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier
2812,23.69,0.51,92.05,2898,2016-03-05 13:18:33,noload
2813,23.7,0.51,91.81,2919,2016-03-05 13:18:35,noload
2814,23.74,0.51,92.09,2922,2016-03-05 13:18:37,noload
2815,23.8,0.51,92.44,2907,2016-03-05 13:18:39,noload
2816,23.8,0.51,91.98,2883,2016-03-05 13:18:41,noload
2817,23.81,0.51,90.3,2868,2016-03-05 13:18:43,noload
2818,23.85,0.51,92.97,2874,2016-03-05 13:18:45,noload
2819,23.88,0.51,93.28,2850,2016-03-05 13:18:48,noload
2820,23.9,0.51,93.17,2820,2016-03-05 13:18:50,noload
2821,23.94,0.51,90.63,2820,2016-03-05 13:18:52,noload
2822,23.99,0.51,92.49,2826,2016-03-05 13:18:54,noload
2823,24.02,0.51,93.84,2865,2016-03-05 13:18:56,noload
2824,24.03,0.51,92.73,2859,2016-03-05 13:18:58,noload
2825,24.05,0.51,92.9,2862,2016-03-05 13:19:00,noload
2826,24.05,0.51,92.31,2805,2016-03-05 13:19:02,noload
2827,24.09,0.51,93.87,2772,2016-03-05 13:19:04,noload
2828,24.16,0.51,91.94,2805,2016-03-05 13:19:06,noload
2829,24.16,0.51,90.76,2838,2016-03-05 13:19:08,noload
2830,24.18,0.51,89.88,2841,2016-03-05 13:19:10,noload
2831,24.22,0.51,92.31,2805,2016-03-05 13:19:12,noload
2832,24.25,0.51,91.59,2787,2016-03-05 13:19:14,noload
2833,24.31,0.51,91.98,2799,2016-03-05 13:19:16,noload
2834,24.31,0.51,91.79,2787,2016-03-05 13:19:18,noload
2835,24.37,0.51,92.38,2802,2016-03-05 13:19:20,noload
2836,24.39,0.51,92.66,2784,2016-03-05 13:19:22,noload
2837,24.41,0.51,91.68,2787,2016-03-05 13:19:25,noload
2838,24.49,0.51,88.99,2757,2016-03-05 13:19:27,noload
2839,24.54,0.51,91.11,2739,2016-03-05 13:19:29,noload
2840,24.56,0.51,90.41,2757,2016-03-05 13:19:31,noload
2841,24.6,0.51,90.61,2766,2016-03-05 13:19:33,noload
2842,24.67,0.51,89.67,2775,2016-03-05 13:19:35,noload
2843,24.69,0.51,90.1,2775,2016-03-05 13:19:37,noload
2844,24.72,0.5,91.77,2787,2016-03-05 13:19:39,noload
2845,24.72,0.51,89.77,2784,2016-03-05 13:19:41,noload
2846,24.75,0.51,88.05,2757,2016-03-05 13:19:43,noload
2847,24.82,0.5,89.69,2754,2016-03-05 13:19:45,noload
2848,24.84,0.5,93.6,2742,2016-03-05 13:19:47,noload
2849,24.92,0.51,91.09,2733,2016-03-05 13:19:49,noload
2850,24.99,0.5,91,2763,2016-03-05 13:19:51,noload
2851,25.03,0.5,90.43,2781,2016-03-05 13:19:53,noload
2852,25.04,0.5,90.43,2772,2016-03-05 13:19:55,noload
2853,25.05,0.5,90.67,2742,2016-03-05 13:19:57,noload
2854,25.09,0.5,92.86,2772,2016-03-05 13:19:59,noload
2855,25.13,0.5,89.58,2796,2016-03-05 13:20:01,noload
2856,25.19,0.5,90.23,2802,2016-03-05 13:20:04,noload
2857,25.24,0.5,89.53,2766,2016-03-05 13:20:06,noload
2858,25.25,0.5,92.79,2742,2016-03-05 13:20:08,noload
2859,25.29,0.5,88.66,2742,2016-03-05 13:20:10,noload
2860,25.33,0.5,92.12,2757,2016-03-05 13:20:12,noload
2861,25.34,0.5,85.51,2745,2016-03-05 13:20:14,noload
2862,25.37,0.5,90.43,2751,2016-03-05 13:20:16,noload
2863,25.41,0.5,88.97,2754,2016-03-05 13:20:18,noload
2864,25.47,0.5,90.67,2763,2016-03-05 13:20:20,noload
2865,25.49,0.5,89.32,2784,2016-03-05 13:20:22,noload
2866,25.51,0.5,87.02,2772,2016-03-05 13:20:24,noload
2867,25.55,0.5,87.02,2766,2016-03-05 13:20:26,noload
2868,25.61,0.5,87.13,2757,2016-03-05 13:20:28,noload
2869,25.63,0.5,87.48,2757,2016-03-05 13:20:30,noload
2870,25.64,0.5,87.85,2742,2016-03-05 13:20:32,noload
2871,25.67,0.5,86.19,2742,2016-03-05 13:20:34,noload
2872,25.66,0.49,89.03,2754,2016-03-05 13:20:36,noload
2873,25.67,0.5,87.41,2778,2016-03-05 13:20:38,noload
2874,25.74,0.5,86.58,2772,2016-03-05 13:20:40,noload
2875,25.82,0.5,85.05,2769,2016-03-05 13:20:43,noload
2876,25.81,0.5,89.12,2766,2016-03-05 13:20:45,noload
2877,25.88,0.5,86.41,2766,2016-03-05 13:20:47,noload
2878,25.93,0.5,85.99,2769,2016-03-05 13:20:49,noload
2879,25.98,0.5,84.92,2772,2016-03-05 13:20:51,noload
2880,26.01,0.5,88.11,2763,2016-03-05 13:20:53,noload
2881,26.07,0.5,87.63,2742,2016-03-05 13:20:55,noload
2882,26.16,0.5,84.85,2748,2016-03-05 13:20:57,noload
2883,26.21,0.5,89.6,2754,2016-03-05 13:20:59,noload
2884,26.25,0.5,88.59,2754,2016-03-05 13:21:01,noload
2885,26.26,0.49,85.53,2766,2016-03-05 13:21:03,noload
2886,26.28,0.5,84.92,2772,2016-03-05 13:21:05,noload
2887,26.27,0.5,83.89,2775,2016-03-05 13:21:07,noload
2888,26.31,0.5,82.6,2757,2016-03-05 13:21:09,noload
2889,26.35,0.5,82.21,2748,2016-03-05 13:21:11,noload
2890,26.31,0.5,83.69,2754,2016-03-05 13:21:13,noload
2891,26.41,0.5,84.2,2754,2016-03-05 13:21:15,noload
2892,26.43,0.49,83.74,2772,2016-03-05 13:21:17,noload
2893,26.46,0.5,81.99,2763,2016-03-05 13:21:20,noload
2894,26.49,0.5,82.14,2760,2016-03-05 13:21:22,noload
2895,26.56,0.5,78.38,2754,2016-03-05 13:21:24,noload
2896,26.61,0.5,79.45,2769,2016-03-05 13:21:26,noload
2897,26.63,0.5,78.77,2766,2016-03-05 13:21:28,noload
2898,26.69,0.5,78.44,2769,2016-03-05 13:21:30,noload
2899,26.72,0.5,77.88,2757,2016-03-05 13:21:32,noload
2900,26.73,0.5,78.16,2751,2016-03-05 13:21:34,noload
2901,26.79,0.49,78.57,2748,2016-03-05 13:21:36,noload
2902,26.82,0.49,78.51,2736,2016-03-05 13:21:38,noload
2903,26.82,0.5,76.72,2751,2016-03-05 13:21:40,noload
2904,26.88,0.5,76.45,2748,2016-03-05 13:21:42,noload
2905,26.92,0.5,78.66,2754,2016-03-05 13:21:44,noload
2906,27.08,2.99,89.82,546,2016-03-05 13:21:52,noload
2907,27.06,0.5,88.59,2208,2016-03-05 13:21:54,noload
2908,27.08,0.5,85.51,2763,2016-03-05 13:21:56,noload
2909,27.05,0.5,83.17,2757,2016-03-05 13:21:58,noload
2910,27.06,0.5,81.57,2724,2016-03-05 13:22:01,noload
2911,27.11,0.5,78.01,2736,2016-03-05 13:22:03,noload
2912,27.19,0.5,79.82,2742,2016-03-05 13:22:05,noload
2913,27.29,0.5,79.67,2772,2016-03-05 13:22:07,noload
2914,27.35,0.5,83.76,2760,2016-03-05 13:22:09,noload
2915,27.42,0.5,79.65,2739,2016-03-05 13:22:11,noload
2916,27.41,0.5,83.96,2754,2016-03-05 13:22:13,noload
2917,27.36,0.5,84.92,2754,2016-03-05 13:22:15,noload
2918,27.36,0.5,84.09,2760,2016-03-05 13:22:17,noload
2919,27.52,0.5,80.83,2748,2016-03-05 13:22:19,noload
2920,27.56,0.5,79.1,2757,2016-03-05 13:22:21,noload
2921,27.58,0.5,82.36,2754,2016-03-05 13:22:23,noload
2922,27.61,0.5,82.4,2772,2016-03-05 13:22:25,noload
2923,27.62,0.5,78.18,2754,2016-03-05 13:22:27,noload
2924,27.66,0.5,81.35,2751,2016-03-05 13:22:29,noload
2925,27.69,0.5,77.02,2730,2016-03-05 13:22:31,noload
2926,27.74,0.5,76.69,2745,2016-03-05 13:22:33,noload
2927,27.78,0.49,77.39,2778,2016-03-05 13:22:35,noload
2928,27.83,0.5,77.26,2787,2016-03-05 13:22:37,noload
2929,27.85,0.5,78.2,2757,2016-03-05 13:22:40,noload
2930,28.01,2.98,79.93,546,2016-03-05 13:22:48,noload
2931,28.04,0.5,77.04,2178,2016-03-05 13:22:50,noload
2932,28.09,0.5,77.57,2724,2016-03-05 13:22:52,noload
2933,28.08,0.5,77.66,2742,2016-03-05 13:22:54,noload
2934,28.18,2.99,88,543,2016-03-05 13:23:02,noload
2935,28.24,0.49,81.13,2181,2016-03-05 13:23:04,noload
2936,28.26,0.5,81.24,2763,2016-03-05 13:23:06,noload
2937,28.31,0.5,83.08,2778,2016-03-05 13:23:08,noload
2938,28.3,0.5,81.55,2760,2016-03-05 13:23:10,noload
2939,28.38,0.5,84.48,2760,2016-03-05 13:23:12,noload
2940,28.48,0.49,85.68,2748,2016-03-05 13:23:14,noload
2941,28.54,0.5,81.31,2742,2016-03-05 13:23:16,noload
2942,28.56,0.49,76.23,2736,2016-03-05 13:23:18,noload
2943,28.56,0.49,80.81,2754,2016-03-05 13:23:20,noload
2944,28.57,0.49,80.59,2745,2016-03-05 13:23:23,noload
2945,28.64,0.5,83.19,2724,2016-03-05 13:23:27,noload
2946,28.65,0.49,86.43,2763,2016-03-05 13:23:29,noload
2947,28.7,0.49,82.05,2772,2016-03-05 13:23:31,noload
2948,28.75,0.49,83.61,2751,2016-03-05 13:23:33,noload
2949,28.78,0.49,85.4,2745,2016-03-05 13:23:35,noload
2950,28.81,0.49,82.38,2745,2016-03-05 13:23:37,noload
2951,28.88,0.49,79.76,2748,2016-03-05 13:23:39,noload
2952,28.92,0.49,87.85,2757,2016-03-05 13:23:41,noload
2953,28.95,0.49,80.94,2754,2016-03-05 13:23:43,noload
2954,28.97,0.49,81.33,2733,2016-03-05 13:23:45,noload
2955,28.97,0.49,83.06,2751,2016-03-05 13:23:47,noload
2956,28.95,0.49,76.52,2742,2016-03-05 13:23:49,noload
2957,28.98,0.49,75.8,2745,2016-03-05 13:23:51,noload
2958,29.09,0.49,75.73,2739,2016-03-05 13:23:53,noload
2959,29.12,0.49,76.08,2745,2016-03-05 13:23:55,noload
2960,29.13,0.49,83.5,2748,2016-03-05 13:23:57,noload
2961,29.17,0.49,84.48,2769,2016-03-05 13:23:59,noload
2962,29.19,0.49,79.01,2778,2016-03-05 13:24:02,noload
2963,29.28,0.49,74.97,2775,2016-03-05 13:24:04,noload
2964,29.32,0.49,80.15,2775,2016-03-05 13:24:06,noload
2965,29.32,0.49,84.9,2769,2016-03-05 13:24:08,noload
2966,29.32,5.48,92.31,3,2016-03-05 13:24:14,noload
2967,29.34,0.49,85.62,1104,2016-03-05 13:24:15,noload
2968,29.36,0.5,84.57,1653,2016-03-05 13:24:16,noload
2969,29.45,0.5,82.51,2196,2016-03-05 13:24:17,noload
2970,29.5,0.49,83.96,2742,2016-03-05 13:24:18,noload
2971,29.56,0.49,85.88,2748,2016-03-05 13:24:19,noload
2972,29.58,0.5,87.76,2742,2016-03-05 13:24:20,noload
2973,29.56,0.5,85.27,2742,2016-03-05 13:24:21,noload
2974,29.57,0.5,87.41,2745,2016-03-05 13:24:22,noload
2975,29.64,0.49,87.02,2754,2016-03-05 13:24:23,noload
2976,29.64,0.5,83.74,2754,2016-03-05 13:24:25,noload
2977,29.66,0.49,88.16,2766,2016-03-05 13:24:26,noload
2978,29.64,0.49,84.31,2769,2016-03-05 13:24:27,noload
2979,29.68,0.49,83.96,2775,2016-03-05 13:24:28,noload
2980,29.73,0.49,93.84,2766,2016-03-05 13:24:29,noload
2981,29.76,0.49,87.11,2766,2016-03-05 13:24:30,noload
2982,29.75,0.5,86.54,2763,2016-03-05 13:24:31,noload
2983,29.73,0.49,87.15,2754,2016-03-05 13:24:32,noload
2984,29.73,0.49,82.77,2748,2016-03-05 13:24:33,noload
2985,29.79,0.49,85.66,2748,2016-03-05 13:24:34,noload
2986,29.82,0.49,91.04,2754,2016-03-05 13:24:35,noload
2987,29.79,0.49,84.26,2763,2016-03-05 13:24:36,noload
2988,29.79,0.5,88.38,2769,2016-03-05 13:24:37,noload
2989,29.76,0.49,88.94,2769,2016-03-05 13:24:39,noload
2990,29.71,0.49,82.25,2775,2016-03-05 13:24:40,noload
2991,29.71,0.49,86.71,2763,2016-03-05 13:24:41,noload
2992,29.67,0.49,90.08,2763,2016-03-05 13:24:42,noload
2993,29.75,0.5,81.33,2778,2016-03-05 13:24:43,noload
2994,29.72,0.5,84,2769,2016-03-05 13:24:44,noload
2995,29.77,0.49,89.12,2778,2016-03-05 13:24:45,noload
2996,29.9,0.49,82.07,2787,2016-03-05 13:24:46,noload
2997,29.9,0.49,84.48,2772,2016-03-05 13:24:47,noload
2998,29.78,0.49,87.63,2754,2016-03-05 13:24:48,noload
2999,29.88,0.49,89.69,2757,2016-03-05 13:24:49,noload
3000,29.95,0.49,89.64,2745,2016-03-05 13:24:50,noload
3001,29.93,0.49,87.54,2739,2016-03-05 13:24:51,noload
3002,29.87,0.49,86.28,2742,2016-03-05 13:24:53,noload
3003,29.75,0.3,85.49,2757,2016-03-05 13:24:54,noload
3004,29.76,0.21,83.65,2703,2016-03-05 13:24:55,noload
3005,29.99,0.01,73.28,2199,2016-03-05 13:24:56,noload
3006,30,0,66.19,1719,2016-03-05 13:24:57,noload
3007,29.96,0,59.85,1161,2016-03-05 13:24:58,noload
3008,29.94,0,55.13,666,2016-03-05 13:24:59,noload
3009,29.93,0,52.98,288,2016-03-05 13:25:00,noload
3010,29.98,0,50.71,72,2016-03-05 13:25:01,noload
3011,29.88,0,48.04,3,2016-03-05 13:25:02,noload
3012,29.9,0,45.98,0,2016-03-05 13:25:03,noload
3013,29.97,0,42.61,0,2016-03-05 13:25:04,noload
3014,29.96,0,38.81,0,2016-03-05 13:25:05,noload
3015,29.9,0,35.39,0,2016-03-05 13:25:06,noload
3016,29.91,0,32.64,0,2016-03-05 13:25:08,noload
3017,29.77,0,31.24,0,2016-03-05 13:25:09,noload
3018,30.07,0,30.36,0,2016-03-05 13:25:10,noload
3019,30.08,0.31,33.78,0,2016-03-05 13:25:11,noload
3020,30.14,0.83,35.04,225,2016-03-05 13:25:12,noload
3021,30.18,0.78,73.76,645,2016-03-05 13:25:13,noload
3022,30.13,0.57,80.28,1185,2016-03-05 13:25:14,noload
3023,30.17,0.52,87.63,1728,2016-03-05 13:25:15,noload
3024,30.21,0.5,90.34,2241,2016-03-05 13:25:16,noload
3025,30.22,0.5,84.61,2616,2016-03-05 13:25:17,noload
3026,30.19,0.5,89.25,2751,2016-03-05 13:25:18,noload
3027,30.19,0.49,92.23,2766,2016-03-05 13:25:19,noload
3028,30.24,0.49,89.51,2781,2016-03-05 13:25:20,noload
3029,30.28,0.5,90.78,2790,2016-03-05 13:25:22,noload
3030,30.26,0.49,88.16,2778,2016-03-05 13:25:23,noload
3031,30.29,0.5,82.16,2784,2016-03-05 13:25:24,noload
3032,30.34,0.49,83.78,2784,2016-03-05 13:25:25,noload
3033,30.4,0.49,87.19,2790,2016-03-05 13:25:26,noload
3034,30.51,0.49,83.08,2799,2016-03-05 13:25:27,noload
3035,30.54,0.49,86.41,2790,2016-03-05 13:25:28,noload
3036,30.56,0.49,89.43,2790,2016-03-05 13:25:29,noload
3037,30.7,0.5,87.24,2793,2016-03-05 13:25:30,noload
3038,30.79,0.49,89.43,2781,2016-03-05 13:25:31,noload
3039,30.99,0.49,89.95,2775,2016-03-05 13:25:32,noload
3040,30.96,0.5,88.24,2787,2016-03-05 13:25:33,noload
3041,31.01,0.49,88.24,2793,2016-03-05 13:25:34,noload
3042,31.09,0.5,88.07,2793,2016-03-05 13:25:36,noload
3043,30.86,0.49,83.87,2796,2016-03-05 13:25:37,noload
3044,30.81,0.49,89.95,2793,2016-03-05 13:25:38,noload
3045,30.83,0.49,92.05,2790,2016-03-05 13:25:39,noload
3046,30.85,0.49,86.06,2775,2016-03-05 13:25:40,noload
3047,30.87,0.49,90.43,2778,2016-03-05 13:25:41,noload
3048,30.93,0.49,93.67,2790,2016-03-05 13:25:42,noload
3049,30.93,0.49,88.33,2787,2016-03-05 13:25:43,noload
3050,30.92,0.5,94.24,2796,2016-03-05 13:25:44,noload
3051,30.93,0.49,97.74,2799,2016-03-05 13:25:45,noload
3052,30.97,0.49,88.99,2787,2016-03-05 13:25:46,noload
3053,31.02,0.49,89.07,2772,2016-03-05 13:25:47,noload
3054,30.99,0.49,90.87,2778,2016-03-05 13:25:48,noload
3055,30.92,0.49,82.78,2769,2016-03-05 13:25:50,noload
3056,30.99,0.49,85.88,2757,2016-03-05 13:25:51,noload
3057,31.04,0.49,85.75,2772,2016-03-05 13:25:52,noload
3058,31.1,0.49,84.83,2781,2016-03-05 13:25:53,noload
3059,31.15,0.49,87.54,2778,2016-03-05 13:25:54,noload
3060,31.14,0.49,87.85,2799,2016-03-05 13:25:55,noload
3061,31.13,0.49,82.82,2793,2016-03-05 13:25:56,noload
3062,31.13,0.49,90.61,2802,2016-03-05 13:25:57,noload
3063,31.21,0.49,87.94,2787,2016-03-05 13:25:58,noload
3064,31.21,0.48,81.99,2787,2016-03-05 13:25:59,noload
3065,31.19,0.49,83.56,2772,2016-03-05 13:26:00,noload
3066,31.19,0.49,84.31,2769,2016-03-05 13:26:01,noload
3067,31.19,0.49,82.64,2751,2016-03-05 13:26:02,noload
3068,31.14,0.49,84.83,2763,2016-03-05 13:26:04,noload
3069,31.18,0.49,90.34,2760,2016-03-05 13:26:05,noload
3070,31.45,0.49,86.1,2766,2016-03-05 13:26:06,noload
3071,31.57,0.49,86.71,2763,2016-03-05 13:26:07,noload
3072,31.51,0.48,86.54,2751,2016-03-05 13:26:08,noload
3073,31.59,0.48,81.77,2760,2016-03-05 13:26:09,noload
3074,31.66,0.48,81.9,2778,2016-03-05 13:26:10,noload
3075,31.64,0.48,86.36,2784,2016-03-05 13:26:11,noload
3076,31.59,0.48,82.47,2790,2016-03-05 13:26:12,noload
3077,31.55,0.45,79.1,2793,2016-03-05 13:26:13,noload
3078,31.48,0.37,79.36,2760,2016-03-05 13:26:14,noload
3079,31.49,0.33,74.24,2649,2016-03-05 13:26:15,noload
3080,31.63,16.65,63.88,0,2016-03-05 13:26:21,noload
3081,31.67,3.89,58.8,0,2016-03-05 13:26:22,noload
3082,31.67,0.92,72.1,0,2016-03-05 13:26:22,noload
3083,31.61,0.24,62.3,3,2016-03-05 13:26:22,noload
3084,31.35,0.13,51.45,3,2016-03-05 13:26:23,noload
3085,31.21,0.12,66.15,3,2016-03-05 13:26:23,noload
3086,31.19,0.12,68.07,12,2016-03-05 13:26:23,noload
3087,31.19,0.11,58.8,12,2016-03-05 13:26:24,noload
3088,31.27,0.13,47.77,21,2016-03-05 13:26:24,noload
3089,31.29,0.12,62.47,21,2016-03-05 13:26:24,noload
3090,31.29,0.11,64.22,21,2016-03-05 13:26:25,noload
3091,31.33,0.12,49.17,27,2016-03-05 13:26:25,noload
3092,31.33,0.12,48.47,27,2016-03-05 13:26:25,noload
3093,31.35,0.12,63,27,2016-03-05 13:26:26,noload
3094,31.39,0.12,57.4,36,2016-03-05 13:26:26,noload
3095,31.39,0.11,42.52,36,2016-03-05 13:26:27,noload
3096,31.39,0.13,54.77,36,2016-03-05 13:26:27,noload
3097,31.33,0.11,61.42,42,2016-03-05 13:26:27,noload
3098,31.27,0.12,50.4,42,2016-03-05 13:26:28,noload
3099,31.21,0.11,41.3,42,2016-03-05 13:26:28,noload
3100,31.21,0.12,56.88,39,2016-03-05 13:26:28,noload
3101,31.21,0.12,54.25,39,2016-03-05 13:26:29,noload
3102,31.19,0.12,38.15,39,2016-03-05 13:26:29,noload
3103,31.19,0.12,45.67,39,2016-03-05 13:26:29,noload
3104,31.15,0.12,55.3,39,2016-03-05 13:26:30,noload
3105,31.19,0.12,44.63,39,2016-03-05 13:26:30,noload
3106,31.15,0.12,34.83,42,2016-03-05 13:26:30,noload
3107,31.19,0.12,50.05,42,2016-03-05 13:26:31,noload
3108,31.15,0.12,49.35,42,2016-03-05 13:26:31,noload
3109,31.19,0.12,32.55,42,2016-03-05 13:26:31,noload
3110,31.21,0.12,36.22,42,2016-03-05 13:26:32,noload
3111,31.19,0.11,48.65,42,2016-03-05 13:26:32,noload
3112,31.21,0.13,40.25,39,2016-03-05 13:26:32,noload
3113,31.21,0.12,28,39,2016-03-05 13:26:33,noload
3114,31.21,0.12,42.88,39,2016-03-05 13:26:33,noload
3115,31.25,0.11,44.27,42,2016-03-05 13:26:33,noload
3116,31.27,0.12,29.4,42,2016-03-05 13:26:34,noload
3117,31.33,0.12,26.42,42,2016-03-05 13:26:34,noload
3118,31.39,0.12,42.52,42,2016-03-05 13:26:34,noload
3119,31.39,0.12,42.7,42,2016-03-05 13:26:35,noload
3120,31.39,0.12,28.17,39,2016-03-05 13:26:35,noload
3121,31.39,0.13,29.05,39,2016-03-05 13:26:35,noload
3122,31.39,0.11,43.4,39,2016-03-05 13:26:36,noload
3123,31.39,0.11,37.63,39,2016-03-05 13:26:36,noload
3124,31.39,0.13,24.67,39,2016-03-05 13:26:37,noload
3125,31.35,0.12,39.38,39,2016-03-05 13:26:37,noload
3126,31.35,0.11,43.92,42,2016-03-05 13:26:37,noload
3127,31.39,0.12,30.8,42,2016-03-05 13:26:38,noload
3128,31.35,0.12,27.3,42,2016-03-05 13:26:38,noload
3129,31.33,0.11,42.88,42,2016-03-05 13:26:38,noload
3130,31.33,0.12,37.8,42,2016-03-05 13:26:39,noload
3131,31.29,0.12,23.27,42,2016-03-05 13:26:39,noload
3132,31.27,0.13,36.75,39,2016-03-05 13:26:39,noload
3133,31.21,0.12,43.22,39,2016-03-05 13:26:40,noload
3134,31.19,0.12,30.98,39,2016-03-05 13:26:40,noload
3135,31.13,0.11,25.38,42,2016-03-05 13:26:40,noload
3136,31.15,0.12,41.13,42,2016-03-05 13:26:41,noload
3137,31.19,0.12,37.45,42,2016-03-05 13:26:41,noload
3138,31.15,0.12,21.7,42,2016-03-05 13:26:41,noload
3139,31.15,0.12,24.15,42,2016-03-05 13:26:42,noload
3140,31.15,0.11,40.08,42,2016-03-05 13:26:42,noload
3141,31.15,0.12,35.35,39,2016-03-05 13:26:42,noload
3142,31.13,0.12,20.3,39,2016-03-05 13:26:43,noload
3143,31.15,0.12,33.95,39,2016-03-05 13:26:43,noload
3144,31.43,0.12,39.02,39,2016-03-05 13:26:43,noload
3145,31.57,0.12,35.17,39,2016-03-05 13:26:44,noload
