431 ,   256
444 ,   376
454 ,   496
463 ,   616
468 ,   736
469 ,   856
464 ,   976
455 ,   1096
444 ,   1216
431 ,   1336
417 ,   1456
403 ,   1576
392 ,   1696
384 ,   1816
379 ,   1936
378 ,   2056
382 ,   2176
388 ,   2296
397 ,   2416
408 ,   2536
420 ,   2656
432 ,   2776
443 ,   2896
450 ,   3016
455 ,   3136
457 ,   3256
458 ,   3376
453 ,   3496
447 ,   3616
439 ,   3736
431 ,   3856
420 ,   3976
410 ,   4104
400 ,   4216
391 ,   4336
383 ,   4456
377 ,   4576
372 ,   4696
370 ,   4816
371 ,   4936
372 ,   5056
376 ,   5176
384 ,   5296
393 ,   5416
405 ,   5536
419 ,   5656
433 ,   5776
447 ,   5896
460 ,   6016
471 ,   6136
479 ,   6256
483 ,   6376
480 ,   6496
473 ,   6616
461 ,   6736
444 ,   6856
424 ,   6976
402 ,   7096
382 ,   7216
363 ,   7336
349 ,   7456
340 ,   7576
337 ,   7696
341 ,   7816
351 ,   7936
367 ,   8056
387 ,   8176
410 ,   8296
434 ,   8416
456 ,   8536
476 ,   8656
489 ,   8776
497 ,   8896
497 ,   9016
490 ,   9136
477 ,   9256
458 ,   9376
435 ,   9496
411 ,   9616
388 ,   9736
368 ,   9856
352 ,   9976
343 ,   10096
340 ,   10216
345 ,   10336
356 ,   10456
372 ,   10576
395 ,   10696
419 ,   10816
443 ,   10936
465 ,   11056
483 ,   11176
496 ,   11296
502 ,   11416
502 ,   11536
496 ,   11656
485 ,   11776
468 ,   11896
447 ,   12016
425 ,   12136